site,today occurrence,height,se,nplants,elevation,t1920,p1920,t2020,p2020,pt1920,pt2020
BodegaBay,1,45.3,1.23,59,8,12.05555556,788.416,13.44444444,852.932,65.39856221,63.44122314
SanGregorio,1,95.8,2.12,59,50,13.11111111,645.922,14.11111111,731.012,49.26523729,51.804
Clayton,1,63.4,1.42,57,201,16.11111111,463.042,16.88888889,570.23,28.74053793,33.76361842
KnightsFerry,0,67.4,1.92,57,90,16.83333333,363.728,17.38888889,345.948,21.60760396,19.89477316
Groveland,1,83.4,2.19,32,915,13.16666667,1766.062,13.77777778,1330.706,134.1312911,96.5835
Mather,1,75.6,1.81,58,1400,11.16666667,660.654,11.83333333,760.984,59.16304478,64.30850704
AspenValley,1,49.3,1.68,52,1950,5.888888889,831.342,7,783.59,141.171283,111.9414286
YosemiteCreek,1,49.1,1.66,53,2200,9.111111111,1148.842,9.833333333,1227.074,126.0924146,124.7871864
TuolumneMdw,1,20.8,1.11,46,2620,6,1104.646,7.111111111,1040.384,184.1076667,146.304
SpullerLake,1,15.3,1.47,9,3150,5.111111111,1094.486,6.222222222,1178.052,214.1385652,189.3297857
