"","BB-1","BB-2","BB-3","BB-4","GR-1","GR-2","GR-3","GR-4","MT-1","MT-2","MT-3","MT-4","YS-1","YS-2","YS-3","YS-4"
"Label","BB","BB","BB","BB","GR","GR","GR","GR","MT","MT","MT","MT","YS","YS","YS","YS"
"(+)-Epi-bicyclosesquiphellandrene","0.018008810","0.019908760","0.020003560","0.015199310","0.009803422","0.008229630","0.014918360","0.014386500","0.016261920","0.013731160","0.012320880","0.012949990","0.018856310","0.021804270","0.021636190","0.022999820"
"(+)-Sativen","0.000071800","0.000275938","0.000229537","0.000217525","0.000170013","0.000163421","0.000263611","0.000234133","0.000215738","0.000219551","0.000160495","0.000175092","0.000297660","0.000368260","0.000319863","0.000266089"
"(E)-beta-Famesene","0.077099740","0.055620030","0.119313000","0.107956200","0.008864922","0.002713279","0.025618380","0.022940020","0.002908051","0.000438554","0.007458105","0.004032590","0.009671422","0.012054770","0.014397380","0.014404470"
"(E)-Sabinene hydrate","0.000225310","0.000221399","0.000677901","0.000669820","0.000262635","0.000016500","0.000261970","0.000008510","0.001177482","0.000281028","0.004030939","0.001002976","0.012571730","0.003359162","0.005894403","0.000659333"
"1_7_7-Trimethylbicyclo[2.2.1]hept-5-en-2-one","0.000048100","0.000013500","0.000003340","0.000014200","0.000369148","0.000169722","0.000029200","0.000042900","0.000149781","0.000011600","0.000576912","0.001468148","0.000026900","0.000130787","0.000144985","0.000116861"
"1-Butanol_ 3-methyl-_ acetate","0.000148011","0.000053600","0.000029100","0.000014000","0.000044000","0.000026700","0.000050000","0.000065300","0.000019400","0.000031100","0.000022000","0.000010900","0.000037200","0.000032400","0.000023300","0.000020100"
"1-Nonene","0.000033200","0.000293304","0.000269539","0.000580581","0.001783524","0.001992036","0.000746809","0.002924784","0.001408857","0.001451632","0.001187052","0.001232051","0.000357078","0.000184351","0.000359596","0.000372754"
"1-Octen-3-ol","0.000172623","0.000005900","0.000602416","0.000180453","0.001002233","0.000025600","0.000688776","0.000091400","0.000432691","0.000043900","0.001404024","0.000054400","0.000169851","0.000006870","0.000760279","0.000003300"
"1-Octene","0.000062000","0.000644330","0.000226691","0.001058410","0.000729622","0.006166398","0.000561301","0.007437216","0.001685088","0.003799847","0.001159728","0.002299788","0.000414945","0.000612243","0.000250757","0.000851493"
