site,height
Groveland,70.5
Groveland,100.2
Groveland,53.5
Groveland,62.4
Groveland,82.8
Groveland,77
Groveland,81.5
Groveland,76.5
Groveland,75.5
Groveland,93.4
Mather,78.6
Mather,71.4
Mather,79.5
Mather,86.3
Mather,64.5
Mather,62.6
Mather,92.8
Mather,91.7
Mather,91.8
Mather,96.3
BodegaBay,107
BodegaBay,59.4
BodegaBay,34.2
BodegaBay,41.3
BodegaBay,47.7
BodegaBay,53
BodegaBay,81.9
BodegaBay,58.3
BodegaBay,59
BodegaBay,45.8
SanGregorio,83.6
SanGregorio,88.5
SanGregorio,91.8
SanGregorio,73
SanGregorio,85.5
SanGregorio,63
SanGregorio,92
SanGregorio,76.1
SanGregorio,104
SanGregorio,96.7
YosemiteCreek,55.2
YosemiteCreek,36.6
YosemiteCreek,48.7
YosemiteCreek,57.4
YosemiteCreek,50
YosemiteCreek,53.8
YosemiteCreek,47.3
YosemiteCreek,40.5
YosemiteCreek,32
YosemiteCreek,46.8
SpullerLake,20.3
SpullerLake,19.4
SpullerLake,17
SpullerLake,14.5
SpullerLake,22.7
SpullerLake,10.4
SpullerLake,16.8
SpullerLake,17.3
SpullerLake,24.1
SpullerLake,14.3
TuolumneMdw,26.5
TuolumneMdw,21
TuolumneMdw,32.2
TuolumneMdw,31.4
TuolumneMdw,28.4
TuolumneMdw,21.2
TuolumneMdw,19.7
TuolumneMdw,31.3
TuolumneMdw,14.2
TuolumneMdw,14.5
AspenValley,39.8
AspenValley,45.9
AspenValley,41.6
AspenValley,59.5
AspenValley,66.3
AspenValley,62.2
AspenValley,47.5
AspenValley,54.9
AspenValley,34
AspenValley,52.1
Clayton,58.7
Clayton,77.7
Clayton,69.6
Clayton,59.2
Clayton,60.7
Clayton,57.2
Clayton,72.6
Clayton,74.2
Clayton,64.3
Clayton,54.6
